employeeId,employeeName,totalHoursWorked,totalOvertimeHoursWorked,totalLeaveDays
1,Cynthia Davis,130,34,2
2,Gary Mongelli,86,15,4
3,Daphne Thomas,110,15,4
4,Dara Rogers,129,32,1
5,Ernestine Aragon,116,29,1
6,Jose Bell,114,31,3
7,Ellen Baker,142,23,1
8,Tad Simens,102,15,1
9,Noreen Jacobs,132,16,1
10,Lucy Ruderman,113,20,3
11,Ralph Bellman,125,33,1
12,Lois Goulden,110,20,2
13,Delicia Smith,114,5,4
14,Nancy Gose,117,25,1
15,Dean Whitt,146,30,1
16,Herbert Hayton,118,25,2
17,Connie Cruz,121,20,3
18,Evelyn Haggerty,157,23,0
19,Jackie Brevig,145,21,1
20,Anthony Murphy,112,29,0
21,Lee Pugh,152,42,0
22,Christal Deloye,153,51,0
23,Charles Caballero,130,13,3
24,Nicole Brauer,131,47,2
25,Gregory Dugue,150,30,0
26,Jill Lee,118,15,1
27,Bradley Strait,122,14,3
28,Brandon Francois,140,27,2
29,Alfonso Lennon,126,22,2
30,Dwayne Fuchs,151,21,0
31,Rose Redman,131,32,4
32,Jessica Alvarez,124,7,2
33,Ronald Tiner,138,36,3
34,Donald Vasko,108,21,2
35,Rosa Driscoll,92,11,3
36,Donna Carter,126,17,4
37,Miriam Pelletier,101,6,3
38,David Grizzle,101,14,2
39,Mary Snyder,128,8,3
40,Chris Lara,119,33,1
41,Samantha Steward,85,15,3
42,Ricardo Mcelwain,102,16,4
43,Roger Thomason,120,38,2
44,Rosie Marcus,117,12,2
45,Andrea Cunningham,121,16,2
46,Elida Sim,96,13,4
47,Suzanne Jackson,116,20,0
48,John Hahn,120,33,2
49,Jamie Strickland,137,28,1
50,Anne Wilson,122,16,2
51,Bobby Jorgensen,117,13,2
52,Michael Peters,109,29,1
53,Wilma Mann,123,17,1
54,Eva Bradley,74,19,5
55,Christopher Denson,130,21,2
56,Vivian Casey,106,17,5
57,Annette Hamilton,94,12,3
58,Michael Carter,99,18,3
59,Myles Romie,127,15,1
60,Crystal Beatty,117,18,1
61,Jeffery Robbins,116,16,4
62,Stanley Beene,115,14,2
63,Roberto Williams,105,34,4
64,Sheldon Kautz,117,30,1
65,Viviana Caron,113,14,3
66,Francesca Anderson,125,14,1
67,Michael Davis,92,12,2
68,John Sharpe,138,38,1
69,James Cornelison,108,23,2
70,Leslie Ruybal,134,25,3
71,Todd Bridges,145,24,1
72,Charles Gilkey,114,23,1
73,Dale Perdomo,120,33,3
74,Bruce Martin,114,27,2
75,George Dunagan,129,24,3
76,Pamela Pace,115,22,4
77,Sheila Robinson,121,21,1
78,William Orndorff,111,10,4
79,Annette Bowling,103,30,2
80,Danielle Lyons,145,39,0
81,Clemente Ramos,135,19,2
82,Ricky Sharpe,114,41,1
83,Betty Webster,131,25,1
84,Mary Kountz,111,8,5
85,Megan Graddy,137,25,1
86,Elizabeth Edwards,138,13,1
87,Lois Richardson,106,20,1
88,Wilmer Wallace,120,11,3
89,Julie Johns,123,14,2
90,Pearlie Klein,124,26,1
91,Consuelo Crowell,99,23,2
92,Steve Losoya,105,19,3
93,Asuncion Walker,120,24,2
94,Lavern King,111,21,1
95,Douglas Johnson,148,24,1
96,Amber Sauls,105,30,0
97,Casimira Anderman,98,18,4
98,Doris Larkin,121,27,2
99,Arthur Cooper,133,21,1
100,John Berger,111,19,5
